日期,标题,内容摘要,信息来源,URL,热度
2025-03-03,如何“玩转”凝血的“转”,"这个月在凝血值班,又赶上周二,周二对于大部分医院来说都是最忙的时间.所以每到周二,大家都像“打了鸡血”一样,忙的不亦乐...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd978JLCRI07FPiDOE3sfPDS_hnO0rHF6j3x1JbxdpVVZmUGflTo8YxwNV3VMhDAzbwJKHl8MmeXZyUInRjGhyOK2N-LiorYWMe5a0fxkQZ-TBPjImso-2-3maSfpnJwKygiPtk7efOrrdaBhQO7w5soeS6SM06OnwBSmKmqooLQbHdrgozfSg6bw..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,凝血指标异常有什么临床意义?该怎么处理?,"作者:北京协和医院  毛一雷外科病人围手术期合并凝血功能紊乱如血液病、肝脏疾病、DIC、重症休克、肿瘤及大量输血等,围手术期...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd978JLCRI07FPiDOE3sfPDS_hnO0rHF6j3x1JbxdpVVZmUGflTo8YxwCjVkVAn_JzuymWdGQbgFJx01uStd0l0r10FrPxDMBiy9-Z48M-T06wgbaJB-hq7gaFYzTPPlByyvr3lDu-kzUst3LXC97oTEprfeDdfEZJmHfaWW1xy3bq54z_tGSZTqA..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,"凝血报告缺一项,完整吗?","一患者为骨科病房住院病人,诊断为腰椎管狭窄症,男,84岁,在做凝血四项检测和纤溶两项检测时(凝血仪器为sysmexCS-2000i)...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd9T4Cgrqw3XuD_GF4WFufH5q1VSiZYzKu1TZp_VFfe28qLtFmC5SmQEBN5c_-Dk4tDr6JzNHxQgQ93RlLMAK1AIvgDmCzvWS1TnKUiQ_jmry67W08JHg4UJJoyDhmaYqeuOaB8r9QA5jHraxnoxZdw_luC5x2jthNJODHi8WjPf-9hWLv6O878UA..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,忽然异常的凝血结果,"作者 | 陈佳慧单位 | 新郑华信民生医院前    言凝血因子是血浆与组织中参与凝血的物质,主要有12种:凝血因子Ⅰ(纤维蛋白原)、Ⅱ...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd9T4Cgrqw3XuD_GF4WFufH5q1VSiZYzKu1TZp_VFfe28qLtFmC5SmQEM24QWUrey7IdBcaXB-Loun6tVyjgDwMTpyhs6XXig4xD7fC7WF5RG5pg_JEUYzHQq0N6WMv3vVnLQqkUN2azdt6gvtAm4k-AKbXLfrc2pqkrn78gidXa7bRtmyIGw2VAg..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,凝血七项的临床意义!(建议收藏),供稿:体外诊断学院 来源:IVD销售实战课堂凝血七项分别为:一、血浆凝血酶原时间(PT)二、活化部分凝血活酶时间(APTT)三...,未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd9Nx4hVxzAtIDMHlwz74ewio9xcNMjkyqw_t4GriXhfRv735nVzQM3UBL_STLuNop80jRrG7Po0LOO5ZOj1sPEjymMOnk_8-Qk9EF2GTz41emUR1RV1-aZi8Wm80Yq5fe-zLrrNsA0-PBBYvihMxbVA8ofTANnffxeXEIt9s2vxNsNGbbB75bUeA..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,"重磅!凝血硬核玩家,经典开局!席卷全球!","在上一回《凝血检测江湖》系列的开篇里说到,塞力斯生物以一己之力搅动风云,坐拥锦绣江山.而它手握着的是跨越大西洋觅得的那...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd9Nx4hVxzAtIDMHlwz74ewio9xcNMjkyqw_t4GriXhfRv735nVzQM3UAhRHSlYL0pIK2lZfhVaIypxwA87-m2Sxiary7zjAkJfihSoy0KbhkYBTHqoAK1iX9wr9aQyQA1lUtCHQjpz-oxotZvHZgxXROTKm9-WpbiP4yE6wzPhr4YY-UZGbO56rA..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,"简单 3 步,教你读懂凝血化验单!","凝血功能检查是临床工作中很常见的一种实验室检查,其中涉及多个指标,每个指标代表着不同的意义,你都会解读吗?本周「心内检...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd9wzO0gDRVYfl0laXgsUgX9CJYpYicNvf5afDiBrkRFIhOappbhgTyCp28lRkqBZ4VcNS2PCJv1nqDmmoOK-F5oGf_085_yVAm8vtye4GK1joMrvxIuvkAQwcD7pUg4NOUzV1SbTxHF_OTJK-OJmrKgLeqHeBh1EwoNOv7CgoPb8V6VKrzu_4XKA..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,凝血五项不会看?一图帮你搞定,"首先,我们来看下凝血的主要途径及对应辅助检查.活化部分凝血活酶时间(APTT)APTT 是内源性凝血系统的一个较为敏感的筛选...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd9enmRw5az0PMaUCLhgZMbE7z3J8eFJjMWb6liky3GvngsGFvc54SUqzZZ9JxHTYc5JU6r2TB-ql8nqOC9flf1mTmsD9OrofsoNrpzFkIGaPNtGzc_igZXxbYlrAJ3ZfCNPMix3t-id9OolFf8UceQ_Xj4NKM-ugSoJYW8mnOW3qSAFV_3u-a3OQ..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,"凝血五项 7 种异常结果解读,一文汇总!","在临床工作中正确解读凝血各项指标非常重要,今天我们系统盘点一下常见几种凝血因子(PT、APTT、TT、FIB、D-dimer)的异常模...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBDm9PocIkAi0O_1hA-DCMsFqXa8Fplpd9wzO0gDRVYfl0laXgsUgX9CJYpYicNvf5afDiBrkRFIhOappbhgTyCikHcm8s7E3Q76gawWCoLQ-4RInDJChKEmgUEWNPBqvwKUfaYRPSuLOiuxdofRsrqlkcNwtOAwLGf3269RKGiVvtFAA65AnJPFo5liWl16qhZzOSOsiiKYhhWLv6O878UA..&type=2&query=%E5%87%9D%E8%A1%80&token=BF74EA08E4D725FD898FA6E3167CE00889267EB867C562CF,65
2025-03-03,"抗栓、抗凝、抗血小板治疗,这些指南请收好!","规范的抗凝治疗能够有效降低VTE 的发生率和病死率,减少血栓后综合征的发生.中国微循环学会周围血管疾病专业委员会组织国内相...",未知公众号,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBEuGeZB79g-EO_1hA-DCMsFqXa8Fplpd9ClnWNjzATWbcqUZ70uTPpFC4LBxtQD9xxEbGl6gC0uGO9MIiIg7A__9EA-PGRext-V0hJFD-TdbE4Eyufkid0FpElW7FHM8paMK4qmzcXjBuhndXcp8cvlZju0actSwkdYpF6zyznagp6kCcg79LUPqiqPEfCMtZONpllMai2rOE8RsmObDbtQ..&type=2&query=%E6%8A%97%E5%87%9D&token=BF750297794BB96014123B7E8B3E98F5151DE18167C562D2,65
