日期,标题,内容摘要,信息来源,URL,热度分数
2025-03-03,神奇LLM引擎上线:帮你把GPT-3直接调成ChatGPT,"LLM引擎,供开发人员使用很多公司、机构的基础模型快速构建定制化模型:你可以用 OpenAI、EleutherAI、Cerebras、Databricks、...",机器之心,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBxXn_21q5HM0O_1hA-DCMsFqXa8Fplpd9QHhQcYyEfuiOnHfNWCCVP7R5KJ2ZPiGJwhN2lnumPsapDypkHLdbnJm0WX2DmFYZQFMoXwSbTmXnsYViYcGkO5bRfpZUP9PDvM7iOT3x2kNgjohonx3wPfRbgQuYOZxExYC9JCWvhq4YdHXBMJwY0ObtOTU6L74af0jRi8NJiuz0OK9DLfgmPA..&type=2&query=LLM&token=BF1BE24A0E3FCD1561644E0B996E7D516247841667C557DE,125
2025-03-03,"多模态大模型对齐新范式,10个评估维度全面提升,快手&中科院&南大打破瓶颈","MM-RLHF团队 投稿量子位 | 公众号 QbitAI尽管多模态大语言模型(MLLMs)取得了显著的进展,但现有的先进模型仍然缺乏与人类偏...",量子位,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRB58GPQ_iYNj0O_1hA-DCMsFqXa8Fplpd9phGuP61Rvq3PJo2ssbQYl5JY0bxOAAEvWx3Ll6NOCz9if75aeFiUt6Kb0gSVjeClSJ4ATxZf4aRJMsltmj3WB9qQbK6Zyi5kEZXoA23E9X-ISgsgSXZ1RiEyGb9tqiwl6mVPVOi_VJXCjeGyMoIRRl1B2PUvV18PJrqXaeMLfex5LU3lqtPw9g..&type=2&query=%E5%A4%A7%E6%A8%A1%E5%9E%8B&token=BF1B798C88BD4F90E3E5CB8E13E1DBDCE4F293E367C557CD,120
2025-03-03,"大模型是一场新的搜索战争,OpenAI不会赢家通吃,一家最好被收购!硅谷知名投资人曝料特朗普希望马斯克更积极裁撤美政府预算","大模型战争将是一场新的搜索战争.而OpenAI最先蚕食的是信息搜索,而非商业搜索.2.2025对于Meta而言将是关键之年,既要夺回...",51CTO技术栈,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRB58GPQ_iYNj0O_1hA-DCMsFqXa8Fplpd9Xr9e71v6k-QD0fBKal0E6WLD5_DhaRfEBIVpI-fIzBYWfm4Oz6Tqm9ZAU8MmJOXt3q0x54XfBJHd8VA1798cCbRVhO5E-twB5cQiMisjOU2mjY8XFUP24TwrApPgazK3F9pbJfgr75GT1ykAYBMiOOOcNVKNU9jVgkWdCBa9gIsCn9lOoZLP2Q..&type=2&query=%E5%A4%A7%E6%A8%A1%E5%9E%8B&token=BF1B798C88BD4F90E3E5CB8E13E1DBDCE4F293E367C557CD,110
2025-03-03,大模型进化史:从Transformer到DeepSeek-R1的AI变革之路,证明了在大量数据集上训练的更大模型可以在人工智能能力方面树立新的标杆.语言建模性能会随着模型规模、数据集大小以及训练所...,可惜山鬼不识字,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRB58GPQ_iYNj0O_1hA-DCMsFqXa8Fplpd9iRj3Owyk16Qv5fxbKGBjdcMGZjTqL0XriMETKbElNxIUfHO4qIlRnAc1PywiPTAZbm7DCejrX54qMYMbCywNfYoPgpTQagAovE8D_Ges6HFmyKahnKfDi2a-e-tH1iIFllUwCDLQgE6ScjijT5Lzc9fAFZjDYxmDyttd54J7_lJFkDr8IT4KYw..&type=2&query=%E5%A4%A7%E6%A8%A1%E5%9E%8B&token=BF1B798C88BD4F90E3E5CB8E13E1DBDCE4F293E367C557CD,110
2025-03-03,LLM自学成才变身「预言家」!预测未来能力大幅提升,"LLM的「自学秘籍」研究人员提出了一个结果驱动的微调框架,让LLM能够摆脱对人工输入的过度依赖,通过自我学习来提升预测能力...",新智元,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBxXn_21q5HM0O_1hA-DCMsFqXa8Fplpd9dbTSaMq5lc1vKjGdjDIKUF159MV_jGime5CuO1oRYdCln1cv0kNXUtKU2eYHPQ_6JSlCZCumciGGk9rmlIOG4SP6oJ6hWb879QD3It1SBh8_nE1zgjT5vekGc0s2-ike_K1dmdNLsVuMAWtofcf46rLfQ97bZH44mKcY6_BDRNV5Nu7CnoSqqg..&type=2&query=LLM&token=BF1BE24A0E3FCD1561644E0B996E7D516247841667C557DE,110
2025-03-03,"大模型六小虎2025年第一笔融资落地,杭州国资参投","中国大模型“六小虎”传出的第一笔融资消息.另外,值得关注的是,天眼查信息显示,智谱已在杭州设立了全资子公司——浙江智谱...",腾讯科技,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRB58GPQ_iYNj0O_1hA-DCMsFqXa8Fplpd9lq6Dn4jKc4EUeYYt0NFUDkE_SYghxS7dNw4F5e3K6QmJELFkuHE7PZ3oreW1IBPFhgbruEkrWCBypUG9s8SRJSjJ66V-z_eFDgOIMMBlFH6s-8lQGjL21Gk8ugqSFhzOm5Hywstacy-P58esvzqTtAgnwZE-NmUvsRVUrU8K8deE8RsmObDbtQ..&type=2&query=%E5%A4%A7%E6%A8%A1%E5%9E%8B&token=BF1B798C88BD4F90E3E5CB8E13E1DBDCE4F293E367C557CD,105
2025-03-03,"或能让大模型看懂所有手机信息?科学家基于骁龙8 Gen3处理器打造小语言模型家族,已进行全流程开源","即大模型在设计阶段就应该充分考虑目标部署硬件的特性,将模型训练和部署用统一的视角进行优化设计,以便充分释放硬件能力....",DeepTech深科技,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRB58GPQ_iYNj0O_1hA-DCMsFqXa8Fplpd9MFiPqXEVtb0a2dhIbtYYv0T6GhAR70Mg7RIZ0tjO5Epc_Y0Nfs0hXvLVH8FcyQTPUkawHc20pKWXQWpcu4jcIB83-9OJN4p_3fCVaKbe58RLG2UF1GBs_HgfLNNONLevrWnxxi0TWZzd9Cj2vo12AsgwdWmazwe5KGNC3zn4GfQYJSSFPgfogQ..&type=2&query=%E5%A4%A7%E6%A8%A1%E5%9E%8B&token=BF1B798C88BD4F90E3E5CB8E13E1DBDCE4F293E367C557CD,105
2025-03-03,由大模型LLM的幻觉到知识增强RAG,"1. 大模型的问题1.1 训练数据时效滞后性大语言模型LLM的能力来源于海量的离线数据训练,模型的训练周期需要数周甚至数月的时间...",24KTech,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRBxXn_21q5HM0O_1hA-DCMsFqXa8Fplpd9XzOgFTugU1Uxw-kWUF45MM6oEXlP-DM0MwdxIXpD4tAeV8CfAVubY5vGOAk_3sCKOmY45DXES1Fc41DDAwjPXjiIBjgWWiITnZEnnSrs1hvaxGmrcSTdmEyuJ3lF2YIaTX7ty-3az9YBb9zQmPXIbT962cf3seB8VEosb0vLy4I6Ebq8fk9diw..&type=2&query=LLM&token=BF1BE24A0E3FCD1561644E0B996E7D516247841667C557DE,105
2025-03-03,大模型训练告别＂数据洁癖＂?北大研究揭示:AI也能＂吃粗粮＂,大模型训练告别＂数据洁癖＂?北大研究揭示:AI也能＂吃粗粮＂＂数据清洗太耗时了!＂这可能是每个AI开发者都曾抱怨过的问题....,刷刷双语,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRB58GPQ_iYNj0O_1hA-DCMsFqXa8Fplpd9-9yyoyM_8jHDPVOy4JlxPtUCNosVC7kJ-Po7wW-cWYRMA449EFPq3v-Loh49xv_BeaqobKe8kGIg0E0O0oDCJlomUHkIIJbBLmGrllvdK7uQ18H1gp47z40aWB6n8W5hEBnDGi99WmHlr3SiCbYJtgV72dwyBwuc06ZD8LqiJiPvzHZXxeLdyg..&type=2&query=%E5%A4%A7%E6%A8%A1%E5%9E%8B&token=BF1B798C88BD4F90E3E5CB8E13E1DBDCE4F293E367C557CD,100
2025-03-03,"数据丨AI大模型“六小龙”,阶跃星辰新动作,概念股出炉","(文中所涉个股只作为数据板块分析,不作买卖依据)近期,阶跃星辰联合吉利汽车集团开源两款多模态大模型.在熟悉智谱AI、月之...",钱眼,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS0FKw8sSdCRB58GPQ_iYNj0O_1hA-DCMsFqXa8Fplpd90BZ6Q1zSFq0SGw1mJZHiP0i9bqi8W8v7_4Md37pZF5xNEBuQa1_jVprD4YqZeOKoA-9BAXtqNsm6RTZisUo5WuBcnq_qMW_uy_c-we3bKLaxwHFozcKc8zkiWeIN_376HsIOYu9HBIxxsnoCaMD__YSilLP1NmXsmZU4RRveV8wY-UZGbO56rA..&type=2&query=%E5%A4%A7%E6%A8%A1%E5%9E%8B&token=BF1B798C88BD4F90E3E5CB8E13E1DBDCE4F293E367C557CD,100
